RegionName,Year,Home_price,MORTGAGE30US,Median_Income
Colorado,2013,236966.527878551,3.975576923,53590
Indiana,2010,113275.569961587,4.689807692,49280
Alaska,2026,380099.962816924,6.084545455,
North Dakota,2020,225002.719952964,3.111698113,68010
Colorado,2023,540325.246740269,6.806730769,80610
Ohio,2013,110683.969805518,3.975576923,53590
Idaho,2022,476069.143435018,5.344038462,74580
Missouri,2007,141264.928414227,6.337307692,50230
Kentucky,2000,90763.895464197,8.053461538,41990
Louisiana,2008,162668.9653404,6.027169811,50300
Alabama,2000,101032.103454857,8.053461538,41990
Connecticut,2020,263071.518297687,3.111698113,68010
Idaho,2017,220508.034010586,3.989807692,61140
Utah,2003,177716.582355894,5.826981132,43320
Vermont,2009,209886.991182635,5.036538462,49780
Maine,2013,173624.942127179,3.975576923,53590
Alabama,2026,231708.895903327,6.084545455,
Connecticut,2001,178858.000299001,6.967884615,42230
Nebraska,2001,110249.621280801,6.967884615,42230
Minnesota,2014,183332.731979914,4.168867925,53660
Delaware,2016,244682.698920739,3.654038462,59040
California,2018,521936.344837683,4.544615385,63180
Idaho,2021,416629.595795678,2.957692308,70780
Nebraska,2003,115272.182165153,5.826981132,43320
South Dakota,2019,202495.754457923,3.935769231,68700
New Mexico,2025,307668.126259693,6.595094340,
Missouri,2014,128187.368808458,4.168867925,53660
South Dakota,2016,176696.572611192,3.654038462,59040
Rhode Island,2014,222978.762796579,4.168867925,53660
Alabama,2016,139962.93032955,3.654038462,59040
Texas,2017,191991.199979973,3.989807692,61140
Nebraska,2011,124860.949725234,4.447884615,50050
Minnesota,2008,192874.720736114,6.027169811,50300
Nebraska,2019,176009.082869385,3.935769231,68700
North Carolina,2022,308352.541594547,5.344038462,74580
Arkansas,2020,158734.502682689,3.111698113,68010
Maryland,2018,301700.181831963,4.544615385,63180
Michigan,2012,94313.474977859,3.6575,51020
Florida,2026,372663.444007595,6.084545455,
Virginia,2019,272591.822269311,3.935769231,68700
New Hampshire,2010,212168.359429072,4.689807692,49280
Maryland,2012,240496.405248902,3.6575,51020
South Dakota,2014,161572.769506295,4.168867925,53660
New Hampshire,2003,201548.746853636,5.826981132,43320
New Mexico,2023,288598.540403812,6.806730769,80610
Minnesota,2020,260304.701943214,3.111698113,68010
Idaho,2010,161233.5203724,4.689807692,49280
Oklahoma,2001,88305.463982159,6.967884615,42230
Texas,2018,203950.515911116,4.544615385,63180
Rhode Island,2009,233235.674072845,5.036538462,49780
Rhode Island,2023,425058.016313352,6.806730769,80610
Pennsylvania,2016,164363.16892031,3.654038462,59040
South Dakota,2026,311206.787669264,6.084545455,
Texas,2011,135742.559349403,4.447884615,50050
Virginia,2014,232648.691660985,4.168867925,53660
Ohio,2009,117852.459517949,5.036538462,49780
Alabama,2003,111253.62305096,5.826981132,43320
Oklahoma,2018,133165.640469618,4.544615385,63180
West Virginia,2002,80010.276903354,6.537307692,42410
